"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 18:28:37 GMT 2021","Tue Aug 17 18:29:07 GMT 2021","29687","test_phyton","test_editdata","","","","test_editdata",""
"failed","Tue Aug 17 18:29:49 GMT 2021","Tue Aug 17 18:30:23 GMT 2021","34529","test_phyton","test_new_tittle_only_once","","","","test_new_tittle_only_once",""
"passed","Tue Aug 17 18:29:32 GMT 2021","Tue Aug 17 18:29:49 GMT 2021","16599","test_phyton","test_moredata","","","","test_moredata",""
"failed","Tue Aug 17 18:30:23 GMT 2021","Tue Aug 17 18:30:44 GMT 2021","20788","test_phyton","test_newdata","","","","test_newdata",""
"passed","Tue Aug 17 18:30:44 GMT 2021","Tue Aug 17 18:31:23 GMT 2021","38735","test_phyton","test_registration","","","","test_registration",""
"passed","Tue Aug 17 18:29:07 GMT 2021","Tue Aug 17 18:29:32 GMT 2021","24834","test_phyton","test_inputdata","","","","test_inputdata",""
"failed","Tue Aug 17 18:31:23 GMT 2021","Tue Aug 17 18:31:38 GMT 2021","15278","test_phyton","test_tittle_only_once","","","","test_tittle_only_once",""
"passed","Tue Aug 17 18:27:38 GMT 2021","Tue Aug 17 18:28:11 GMT 2021","33002","test_phyton","test_cookies","","","","test_cookies",""
"passed","Tue Aug 17 18:28:11 GMT 2021","Tue Aug 17 18:28:37 GMT 2021","26634","test_phyton","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 17 18:31:38 GMT 2021","Tue Aug 17 18:31:53 GMT 2021","15028","test_phyton","test_writedatatofile","","","","test_datawritetofile",""
